#{"t_start": 1781856978.2918658, "env_id": "CartPole-v1"}
r,l,t
41.0,41,48.331318
13.0,13,48.351318
19.0,19,48.402318
59.0,59,48.540312
19.0,19,48.563314
74.0,74,48.678318
38.0,38,48.74831
12.0,12,48.774318
14.0,14,48.798317
57.0,57,48.979046
18.0,18,49.028763
28.0,28,49.090251
16.0,16,49.121735
26.0,26,49.16063
13.0,13,49.177169
20.0,20,49.230769
38.0,38,49.330236
33.0,33,49.416102
46.0,46,49.507927
10.0,10,49.540027
40.0,40,49.611388
15.0,15,49.653004
14.0,14,49.686176
31.0,31,49.772296
39.0,39,49.882846
12.0,12,49.908402
49.0,49,50.010954
25.0,25,50.058503
22.0,22,50.124929
24.0,24,50.197523
21.0,21,50.25289
32.0,32,50.318245
14.0,14,50.366843
29.0,29,50.425028
13.0,13,50.461559
44.0,44,50.533917
30.0,30,50.600404
14.0,14,50.623939
33.0,33,50.709206
19.0,19,50.750175
13.0,13,50.767719
45.0,45,50.866764
39.0,39,50.957354
35.0,35,51.054297
18.0,18,51.094997
28.0,28,51.172411
22.0,22,51.2092
31.0,31,51.264284
49.0,49,51.347174
77.0,77,51.506134
19.0,19,51.555244
20.0,20,51.604016
19.0,19,51.656385
35.0,35,51.72302
15.0,15,51.762601
11.0,11,51.801328
19.0,19,51.841572
19.0,19,51.889133
60.0,60,51.998542
69.0,69,52.13954
75.0,75,52.300388
12.0,12,52.323438
19.0,19,52.364417
13.0,13,52.404037
20.0,20,52.437441
57.0,57,52.531831
30.0,30,52.588667
36.0,36,52.656271
11.0,11,52.686332
13.0,13,52.706464
15.0,15,52.74099
15.0,15,52.795567
11.0,11,52.828428
15.0,15,52.859386
17.0,17,52.902962
16.0,16,52.950654
13.0,13,52.979096
15.0,15,53.02265
25.0,25,53.06219
31.0,31,53.132915
28.0,28,53.181667
15.0,15,53.202162
49.0,49,53.305096
58.0,58,53.444502
30.0,30,53.541669
61.0,61,53.662795
35.0,35,53.729372
26.0,26,53.778969
19.0,19,53.822357
27.0,27,53.879373
37.0,37,53.948509
25.0,25,53.991427
30.0,30,54.052619
17.0,17,54.085349
16.0,16,54.116096
22.0,22,54.179705
46.0,46,54.302364
24.0,24,54.340324
74.0,74,54.4726
44.0,44,54.563713
28.0,28,54.613874
45.0,45,54.699747
